"job_order_ref","status","load_status","transport_category","shunting","container_id","container_no","status","iso_code","type","height","length","tara","seal_number","origin_country","destination_country","distance","travel_time","provision_time","price_total","trip_id","status","start_time_planned","end_time_planned","start_time","end_time","delay","trucker_lat","trucker_lng"
EN250305768-1,ACTIVE,FULL,EXPORT,0,76087,,REGISTERED,"45G1",HC,96,40,3800,,DE,AR,215218,12266,"2025-03-17 09:00:00",47883,70701,IN_TRANSIT,"2025-03-17 06:27:44","2025-03-17 12:49:00","2025-03-14 14:28:52",,40457,48.436508,9.972618
EN250401749-1,ACTIVE,FULL,EXPORT,0,77478,ONEU1548124,REGISTERED,"45G1",HC,96,40,3800,,DE,US,180053,9765,"2025-04-14 09:00:00",39607,72357,IN_TRANSIT,"2025-04-14 06:53:36","2025-04-14 12:27:00","2025-04-14 06:29:36",,26,49.458572,8.435995
EN250402046-1,ACTIVE,FULL,EXPORT,0,77634,UACU5894810,IN_TRANSIT,"45G1",HC,96,40,3800,KG445205,DE,MX,224478,12201,"2025-04-14 06:00:00",59806,72666,IN_TRANSIT,"2025-04-14 03:39:56","2025-04-14 09:51:00","2025-04-11 12:25:18",,314,49.393623,11.113237
EN250402325-1,ACTIVE,FULL,EXPORT,0,77786,TCNU1882151,IN_TRANSIT,"45G1",HC,96,40,3800,"28763",DE,US,108758,6529,"2025-04-14 08:00:00",32047,72692,IN_TRANSIT,"2025-04-14 06:29:59","2025-04-14 11:06:00","2025-04-14 06:51:30",,167,49.39975,11.052442
EN250307607-1,ACTIVE,FULL,EXPORT,0,77931,ONEU5968866,PROCESS_ENDED,"45G1",HC,96,40,3800,,DE,JP,77393,5419,"2025-04-11 05:15:00",31487,72867,IN_TRANSIT,"2025-04-11 03:51:59","2025-04-11 08:10:00","2025-04-10 14:18:06",,4682,49.444218,11.012592
EN250403032-1,ACTIVE,FULL,EXPORT,0,78158,NYKU4834910,PROCESS_ENDED,"45G1",HC,96,40,3800,,DE,US,76024,4407,"2025-04-14 12:00:00",25080,73115,IN_TRANSIT,"2025-04-14 10:16:30","2025-04-14 14:44:00","2025-04-14 09:32:48",,0,48.232727,9.707601
EN250403033-1,ACTIVE,FULL,EXPORT,0,78161,CAAU2278704,PROCESS_ENDED,"22G1",DC,86,20,2000,,DE,CA,185197,8651,"2025-04-15 06:00:00",42245,73116,IN_TRANSIT,"2025-04-15 03:41:34","2025-04-15 09:19:00","2025-04-14 08:59:14",,0,48.324039,10.041411
EN250404812-1,ACTIVE,FULL,EXPORT,0,78746,,IN_TRANSIT,"22G1",DC,86,20,2000,"9386724",DE,CL,298669,19171,"2025-04-14 09:00:00",55252,73798,IN_TRANSIT,"2025-04-14 04:58:32","2025-04-14 13:48:00","2025-04-11 08:34:08",,137,47.816437,8.924759
IN250402739-1,ACTIVE,FULL,IMPORT,0,78813,MSMU1301237,IN_TRANSIT,"22G1",DC,86,20,2000,FX35136468,CN,DE,74682,4537,"2025-04-14 11:00:00",27109,73880,IN_TRANSIT,"2025-04-14 09:34:42","2025-04-14 13:47:00","2025-04-14 08:18:47",,16,48.74049,9.130633
EN250400237-1,ACTIVE,FULL,EXPORT,0,79203,HLBU2867459,IN_TRANSIT,"45G1",HC,96,40,3800,"057212",DE,MX,116628,6177,"2025-04-14 09:00:00",32687,74324,IN_TRANSIT,"2025-04-14 07:25:42","2025-04-14 12:01:00","2025-04-14 05:58:12",,-23,49.42078,11.137892
EN250404681-1,ACTIVE,FULL,EXPORT,0,78774,TGBU5740535,REGISTERED,"45G1",HC,96,40,3800,,DE,CR,31638,2658,"2025-04-14 09:00:00",25724,74941,IN_TRANSIT,"2025-04-14 07:47:44","2025-04-14 11:28:00","2025-04-14 06:45:08",,-100,48.824253,9.108691
EN250405313-1,ACTIVE,FULL,EXPORT,0,78899,HLXU1317429,REGISTERED,"22G1",DC,86,20,2000,,DE,VN,175315,9275,"2025-04-14 12:30:00",43918,74943,IN_TRANSIT,"2025-04-14 10:25:24","2025-04-14 15:55:00","2025-04-14 08:03:00",,-37,49.318233,8.891649
IN250402740-1,ACTIVE,FULL,IMPORT,0,78815,MSMU1501868,REGISTERED,"22G1",DC,86,20,2000,FX37398080,VN,DE,74682,4504,"2025-04-14 12:00:00",27109,74944,IN_TRANSIT,"2025-04-14 10:34:02","2025-04-14 14:47:00","2025-04-14 09:59:59",,-63,48.8545,9.162278
EN250406539-1,ACTIVE,FULL,EXPORT,0,79735,FFAU4280068,IN_TRANSIT,"45G1",HC,96,40,3800,,DE,KR,168577,8691,"2025-04-14 11:00:00",49753,74987,IN_TRANSIT,"2025-04-14 08:06:50","2025-04-14 14:12:00","2025-04-14 09:07:48",,17,49.180111,9.336966
EN250406593-1,ACTIVE,FULL,EXPORT,0,79779,TRHU3971586,REGISTERED,"22G1",DC,86,20,2000,,DE,DE,198449,10498,"2025-04-14 11:00:00",44718,75037,IN_TRANSIT,"2025-04-14 08:45:24","2025-04-14 14:35:00","2025-04-14 08:18:31",,18,48.74049,9.130633
