"iso_code","type","height","length","assumed_tara"
"22B0","BK",86,20,2000
"22G1","DC",86,20,2000
"22R1","RF",86,20,2900
"22TD","TK",86,20,3700
"22TG","TK",86,20,3700
"22TN","TK",86,20,3700
"22U1","OT",86,20,2200
"22U6","HT",86,20,2700
"22V0","VT",86,20,2500
"25G1","HC",96,20,2200
"25R1","RF",96,20,2900
"25U1","OT",96,20,2500
"25U6","HT",96,20,2900
"2CG1","DC",86,20,2000
"42B0","BK",86,40,3800
"42G1","DC",86,40,3800
"42R1","RF",86,40,4800
"42TD","TK",86,40,4500
"42TG","TK",86,40,4500
"42TN","TK",86,40,4500
"42U1","OT",86,40,3800
"42U6","HT",86,40,4700
"42V0","VT",86,40,3900
"45G1","HC",96,40,3800
"45R1","RF",96,40,4800
"45U1","OT",96,40,3900
"45U6","HT",96,40,4900
"4CG1","DC",86,40,3800
"4EG1","HC",96,40,3800
"L5G1","HC",96,45,4500
"L5R1","RF",96,45,5600
"LEG1","HC",96,45,4500
